directory,scenario,policy,state,ranking_eligible,violations,invalid,violation_reasons,min_soc_kwh,max_soc_kwh,max_abs_dispatch_kw,energy_residual_kwh,export_kwh,import_kwh,load_kwh,max_loading,max_power_residual_pu,max_voltage_pu,min_voltage_pu,network_loss_kwh,peak_import_kw,solar_kwh,storage_delta_kwh,storage_loss_kwh,total_loss_kwh
bridge/case-00,exploration family=storage seed=11 scale=0.7,storage_6,COMPLETED_INFEASIBLE,False,19,0,storage capacity,39.99999999999999,85.59999999999997,12,-1.3104184404255648e-11,251.67438720700875,499.9608956137019,893.7124283,0.6566175642156024,3.876161798066354e-11,1.0099345737915857,0.9914924693479785,4.41077720670636,52.664803128487826,654.5166971000001,-7.105427357601002e-15,4.679999999999998,9.090777206706358
bridge/case-00,exploration family=storage seed=11 scale=0.7,storage_7,COMPLETED_INFEASIBLE,False,15,0,storage capacity,39.99999999999999,85.59999999999997,12,-2.5149660132228746e-11,251.74016011656767,499.9608956137019,893.7124283,0.6115130878486575,3.876161798066354e-11,1.0092328701415318,0.9914924693479785,4.3450042971594325,52.664803128487826,654.5166971000001,-7.105427357601002e-15,4.679999999999998,9.02500429715943
bridge/case-01,exploration family=combined seed=11 scale=0.7,baseline,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,7.196909734830115e-12,299.16787712193934,543.7291567753499,893.7124283,0.7292482460211663,4.967948554771323e-11,1.0099345737915857,0.9903837339265322,5.365548453403414,63.63511285210405,654.5166971000001,0.0,0.0,5.365548453403414
bridge/case-01,exploration family=combined seed=11 scale=0.7,tap_m2,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,2.7554847292776685e-11,299.1012236282119,543.799042579307,893.7124283,0.7386365550744635,4.589073326352826e-11,0.99755730446842,0.9777597558161351,5.502087751067577,63.64769748102841,654.5166971000001,0.0,0.0,5.502087751067577
bridge/case-01,exploration family=combined seed=11 scale=0.7,tap_p2,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,2.504663143554353e-13,299.23212435756494,543.6618847625949,893.7124283,0.7200975242300236,5.015913588689111e-11,1.0223147679017464,1.003004568061877,5.234029205029833,63.6230018648305,654.5166971000001,0.0,0.0,5.234029205029833
bridge/case-01,exploration family=combined seed=11 scale=0.7,tap_p4,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,-5.53068701947268e-12,299.2940792602466,543.5970973046359,893.7124283,0.7111754130042102,5.0682958999218336e-11,1.0346977846842373,1.0156223773248254,5.107286844394895,63.611340920077616,654.5166971000001,0.0,0.0,5.107286844394895
bridge/case-01,exploration family=combined seed=11 scale=0.7,combined_0,COMPLETED_VALID,True,0,0,,40.0,47.60000000000002,2,-1.592259657456907e-11,291.4011525951955,536.2830810568807,893.7124283,0.6918803121828341,4.793619989414148e-11,1.0346977846842373,1.016164088040243,4.906197261701188,61.77832469591328,654.5166971000001,0.0,0.7799999999999996,5.686197261701188
bridge/case-01,exploration family=combined seed=11 scale=0.7,combined_1,COMPLETED_VALID,True,0,0,,40.0,47.60000000000002,2,-2.172861890414879e-11,291.411507746737,536.2830810568807,893.7124283,0.6918803121828341,4.793619989414148e-11,1.0345840575821696,1.016164088040243,4.895842110165505,61.77832469591328,654.5166971000001,0.0,0.7799999999999996,5.6758421101655046
bridge/case-01,exploration family=combined seed=11 scale=0.7,combined_2,COMPLETED_VALID,True,0,0,,40.0,55.200000000000045,4,-1.2169376617521266e-11,283.4976236471284,528.9783019017945,893.7124283,0.6726467120219916,4.039352638788612e-11,1.0346977846842373,1.0162722506369062,4.724947054678247,59.947633313611945,654.5166971000001,0.0,1.5599999999999992,6.284947054678247
bridge/case-01,exploration family=combined seed=11 scale=0.7,combined_3,COMPLETED_VALID,True,0,0,,40.0,55.200000000000045,4,-1.80873094279832e-11,283.518371688099,528.9783019017945,893.7124283,0.6726467120219916,4.039352638788612e-11,1.0344701275143613,1.0162722506369062,4.704199013713563,59.947633313611945,654.5166971000001,0.0,1.5599999999999992,6.2641990137135615
